year,cnidarian,crustacean,echinoderm,mollusc,totCnidarian,totCrustacean,totEchinoderm,totMollusc
1924,0,0,2,0,0,0,2,0
2004,0,2,2,0,0,2,4,0
2007,2,1,1,0,2,3,5,0
2008,2,2,3,0,4,5,8,0
2009,0,3,1,2,4,8,9,2
2010,1,0,8,4,5,8,17,6
2011,2,3,4,2,7,11,21,8
2012,6,4,3,1,13,15,24,9
2013,3,9,11,2,16,24,35,11
2014,0,4,15,3,16,28,50,14
2015,7,2,4,1,23,30,54,15
2016,0,8,8,10,23,38,62,25
2017,2,3,4,12,25,41,66,37
2018,0,7,11,6,25,48,77,43
2019,4,5,9,16,29,53,86,59
2020,2,1,6,6,31,54,92,65
2021,2,0,2,11,33,54,94,76
