Supplemental Table 2. Data included in the meta-analysis examining the effects of pH on fertilization rate.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
phylum,paper_link,study,taxonomic_group,common_name,latin_name,p_h_experimental,p_h_control,p_co2_experimental,p_co2_control,ave_fert_percent_p_h,error_percent_p_h,error_statistic,number_trials_p_h,number_individuals_eggs_trial,incubation_time,sperm_per_m_l,sperm_egg_ratio,number_females,number_males,secondary_stressor,what_is_2nd_stressor,sec_stressor_treatment,details,ave_fert_proport
Mollusc,https://doi.org/10.1080/15287394.2011.550460,Bechman 2011,mussel,Blue mussel,Mytilus edulis,7.6,8.1,1440.5,444,97.7,0.14,SD,2,658 eggs (pooled from individuals),120,NA,NA,6,8,no,NA,NA,Received data via email; I calculated SD from the two trial results,0.977
Mollusc,https://doi.org/10.1080/15287394.2011.550460,Bechman 2011,mussel,Blue mussel,Mytilus edulis,8.1,8.1,444,444,99.25,0.07,SD,2,601 eggs (pooled from individuals),120,NA,NA,6,8,no,NA,NA,Received data via email; I calculated SD from the two trial results,0.9925
Mollusc,https://doi.org/10.1038/s41598-017-13480-3,"Boulais, 2017",oyster,Eastern oyster,Crassostrea virginica,7.5,7.9,2239,803,74,4,SD,6,Egg and sperm pools,2880,NA,NA,3,3,no,NA,NA,"Fertilization did not occur in treatments, only adults were exposed",0.74
Mollusc,https://doi.org/10.1038/s41598-017-13480-3,"Boulais, 2017",oyster,Eastern oyster,Crassostrea virginica,7.9,7.9,803,803,80,5,SD,6,Egg and sperm pools,2880,NA,NA,3,3,no,NA,NA,"Fertilization did not occur in treatments, only adults were exposed",0.8
Mollusc,http://www.biogeosciences.net/6/3009/2009/,"Havenhand, 2009",oyster,Pacific oyster,Crassostrea gigas,7.82,8.15,NA,NA,64.13,4,SE,14,200,12,10941000,NA,NA,NA,no,NA,NA,success measured after 1 hour,0.6413
Mollusc,http://www.biogeosciences.net/6/3009/2009/,"Havenhand, 2009",oyster,Pacific oyster,Crassostrea gigas,8.15,8.15,NA,NA,63.38,4.36,SE,14,200,12,10864000,NA,NA,NA,no,NA,NA,success measured after 1 hour,0.6338
Mollusc,https://doi.org/10.1111/j.1365-2419.2011.00589.x,"Kimura, 2011",abalone,Ezo abalone,Haliotis discus hannai,8.02,8.02,450,450,91.3,1.5,SD,3,NA,840,NA,NA,1,1,no,NA,NA,Experiment 2,0.913
Mollusc,https://doi.org/10.1111/j.1365-2419.2011.00589.x,"Kimura, 2011",abalone,Ezo abalone,Haliotis discus hannai,7.94,8.02,500,450,85.2,5.7,SD,3,NA,840,NA,NA,1,1,no,NA,NA,Experiment 2,0.852
Mollusc,https://doi.org/10.1111/j.1365-2419.2011.00589.x,"Kimura, 2011",abalone,Ezo abalone,Haliotis discus hannai,7.68,8.02,1100,450,76.8,7.9,SD,3,NA,840,NA,NA,1,1,no,NA,NA,Experiment 2,0.768
Mollusc,https://doi.org/10.1111/j.1365-2419.2011.00589.x,"Kimura, 2011",abalone,Ezo abalone,Haliotis discus hannai,7.54,8.02,1650,450,61.2,4.2,SD,3,NA,840,NA,NA,1,1,no,NA,NA,Experiment 2,0.612
Mollusc,https://doi.org/10.1111/j.1365-2419.2011.00589.x,"Kimura, 2011",abalone,Ezo abalone,Haliotis discus hannai,7.43,8.02,2150,450,65.9,2.2,SD,3,NA,840,NA,NA,1,1,no,NA,NA,Experiment 2,0.659
Mollusc,https://doi.org/10.1111/j.1365-2419.2011.00589.x,"Kimura, 2011",abalone,Ezo abalone,Haliotis discus hannai,7.96,7.96,450,450,96.7,1.4,SD,3,NA,840,NA,NA,1,1,no,NA,NA,Experiment 1,0.967
Mollusc,https://doi.org/10.1111/j.1365-2419.2011.00589.x,"Kimura, 2011",abalone,Ezo abalone,Haliotis discus hannai,7.83,7.96,650,450,97.1,0,SD,3,NA,840,NA,NA,1,1,no,NA,NA,Experiment 1,0.971
Mollusc,https://doi.org/10.1111/j.1365-2419.2011.00589.x,"Kimura, 2011",abalone,Ezo abalone,Haliotis discus hannai,7.79,7.96,850,450,96.7,97.7,SD,3,NA,840,NA,NA,1,1,no,NA,NA,Experiment 1,0.967
Mollusc,https://doi.org/10.1111/j.1365-2419.2011.00589.x,"Kimura, 2011",abalone,Ezo abalone,Haliotis discus hannai,7.73,7.96,1050,450,98.1,0,SD,3,NA,840,NA,NA,1,1,no,NA,NA,Experiment 1,0.981
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",mussel,Blue mussel,Mytilus edulis,6,8,NA,NA,29.9,0,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca (Control),% is an estimate; included control contaminant (Ca) but others tested in study,0.299
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",mussel,Blue mussel,Mytilus edulis,6.5,8,NA,NA,100,0,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca (Control),% is an estimate; included control contaminant (Ca) but others tested in study,1
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",mussel,Blue mussel,Mytilus edulis,7,8,NA,NA,100,0,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca (Control),% is an estimate; included control contaminant (Ca) but others tested in study,1
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",mussel,Blue mussel,Mytilus edulis,7.5,8,NA,NA,96.8,0,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca (Control),% is an estimate; included control contaminant (Ca) but others tested in study,0.968
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",mussel,Blue mussel,Mytilus edulis,8,8,NA,NA,99.6,0,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca (Control),% is an estimate; included control contaminant (Ca) but others tested in study,0.996
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",mussel,Blue mussel,Mytilus edulis,8,8,NA,NA,98.7,0,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca (Control),% is an estimate; included control contaminant (Ca) but others tested in study,0.987
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",oyster,Pacific oyster,Crassostrea gigas,6,8,NA,NA,22.9,0,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 3 reps per treatment, but there aren't error bars in all figures.",0.229
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",oyster,Pacific oyster,Crassostrea gigas,6.5,8,NA,NA,60.9,18.1,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 3 reps per treatment, but there aren't error bars in all figures.",0.609
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",oyster,Pacific oyster,Crassostrea gigas,7,8,NA,NA,58.5,5.4,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 3 reps per treatment, but there aren't error bars in all figures.",0.585
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",oyster,Pacific oyster,Crassostrea gigas,7.5,8,NA,NA,54.3,1.9,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 3 reps per treatment, but there aren't error bars in all figures.",0.543
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",oyster,Pacific oyster,Crassostrea gigas,8,8,NA,NA,69.6,4.3,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 3 reps per treatment, but there aren't error bars in all figures.",0.696
Mollusc,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",oyster,Pacific oyster,Crassostrea gigas,8,8,NA,NA,66.3,10.4,SD,3,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 3 reps per treatment, but there aren't error bars in all figures.",0.663
Echinoderm,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",urchin,purple sea urchin,Paracentrotus lividus,6,8,NA,NA,0.4,0,SD,5,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 5 reps per treatment, but there aren't error bars in all figures.",0.004
Echinoderm,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",urchin,purple sea urchin,Paracentrotus lividus,6.5,8,NA,NA,60.4,0,SD,5,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 5 reps per treatment, but there aren't error bars in all figures.",0.604
Echinoderm,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",urchin,purple sea urchin,Paracentrotus lividus,7,8,NA,NA,74.7,0,SD,5,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 5 reps per treatment, but there aren't error bars in all figures.",0.747
Echinoderm,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",urchin,purple sea urchin,Paracentrotus lividus,7.5,8,NA,NA,89,0,SD,5,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 5 reps per treatment, but there aren't error bars in all figures.",0.89
Echinoderm,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",urchin,purple sea urchin,Paracentrotus lividus,8,8,NA,NA,86.6,0,SD,5,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 5 reps per treatment, but there aren't error bars in all figures.",0.866
Echinoderm,https://doi.org/10.1007/s11356-016-6611-7,"Riba, 2016",urchin,purple sea urchin,Paracentrotus lividus,8,8,NA,NA,94.5,0,SD,5,100,NA,NA,NA,NA,NA,no,Metal Contamination,Ca,"% is an estimate; methods indicate 5 reps per treatment, but there aren't error bars in all figures.",0.945
Mollusc,https://doi.org/10.1371/journal.pone.0093649,"Scanes, 2014",scallop,Scallop,Mimachlamys asperrima,7.69,8.2,1000,390,56.1,0.9,SE,4,30,120,NA,1,5,5,no,NA,NA,NA,0.561
Mollusc,https://doi.org/10.1371/journal.pone.0093649,"Scanes, 2014",scallop,Scallop,Mimachlamys asperrima,7.81,8.2,750,390,61.6,1.7,SE,4,30,120,NA,1,5,5,no,NA,NA,NA,0.616
Mollusc,https://doi.org/10.1371/journal.pone.0093649,"Scanes, 2014",scallop,Scallop,Mimachlamys asperrima,7.89,8.2,600,390,75.8,2.8,SE,4,30,120,NA,1,5,5,no,NA,NA,NA,0.758
Mollusc,https://doi.org/10.1371/journal.pone.0093649,"Scanes, 2014",scallop,Scallop,Mimachlamys asperrima,8.2,8.2,390,390,84.7,3.8,SE,4,30,120,NA,1,5,5,no,NA,NA,NA,0.847
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.4,8.07,2760.76,546.13,29,13,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated sperm + untreated eggs with CO2 aeration,0.29
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.4,8.07,1769.93,546.13,28,14,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated sperm + untreated eggs with HCl,0.28
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.4,8.07,2760.76,546.13,26,7,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated eggs + untreated sperm with CO2 aeration,0.26
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.4,8.07,1769.93,546.13,27,5,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated eggs + untreated sperm with HCl,0.27
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.4,8.07,2760.76,546.13,19,9,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated eggs + treated sperm with CO2 aeration,0.19
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.4,8.07,1769.93,546.13,18,6,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated eggs + treated sperm with HCl,0.18
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.8,8.07,1161.36,546.13,47,21,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated sperm + untreated eggs with CO2 aeration,0.47
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.8,8.07,795.02,546.13,46,12,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated sperm + untreated eggs with HCl,0.46
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.8,8.07,1161.36,546.13,41,12,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated eggs + untreated sperm with CO2 aeration,0.41
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.8,8.07,795.02,546.13,52,15,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated eggs + untreated sperm with HCl,0.52
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.8,8.07,1161.36,546.13,28,6,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated eggs + treated sperm with CO2 aeration,0.28
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,7.8,8.07,795.02,546.13,33,8,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; treated eggs + treated sperm with HCl,0.33
Mollusc,https://doi.org/10.1080/00288330.2017.1296006,"Shi, 2017a",clam,Blood clam,Tegillarca granosa,8.07,8.07,546.13,546.13,84,3.62,SD,11,200,60,NA,10,11,11,no,NA,NA,Individual male x fem. crosses; gametes pre-treated for 60 minutes; sperm + egg control,0.84
Mollusc,https://doi.org/10.1016/j.marenvres.2017.07.016,"Shi, 2017b",clam,Blood clam,Tegillarca granosa,7.38,8.11,3252.44,589.35,59,5,SE,9,200,30,NA,10,3,3,no,NA,NA,"gametes pre-treated for 60 minutes; 1 hr b/f insemination, 30 minutes after",0.59
Mollusc,https://doi.org/10.1016/j.marenvres.2017.07.016,"Shi, 2017b",clam,Blood clam,Tegillarca granosa,7.78,8.11,1347.24,589.35,71,5,SE,9,200,30,NA,10,3,3,no,NA,NA,"gametes pre-treated for 60 minutes; 1 hr b/f insemination, 30 minutes after",0.71
Mollusc,https://doi.org/10.1016/j.marenvres.2017.07.016,"Shi, 2017b",clam,Blood clam,Tegillarca granosa,8.11,8.11,589.35,589.35,82.9,4,SE,9,200,30,NA,10,3,3,no,NA,NA,gametes pre-treated for 60 minutes; 30 minutes after. % fert. is average of pair-mating results (1 male x 1 female),0.829
Mollusc,https://doi.org/10.1016/j.marpolbul.2018.09.007,"Swiezak, 2018",clam,Baltic clam,Limecola balthica,6.3,7.7,NA,NA,13.6,1.5,SD,3,200,60,12000,25,2,3,no,NA,NA,NA,0.136
Mollusc,https://doi.org/10.1016/j.marpolbul.2018.09.007,"Swiezak, 2018",clam,Baltic clam,Limecola balthica,7,7.7,NA,NA,32.3,3.6,SD,3,200,60,12000,25,2,3,no,NA,NA,NA,0.323
Mollusc,https://doi.org/10.1016/j.marpolbul.2018.09.007,"Swiezak, 2018",clam,Baltic clam,Limecola balthica,7.7,7.7,NA,NA,77.5,4.2,SD,3,200,60,12000,25,2,3,no,NA,NA,NA,0.775
Mollusc,https://doi.org/10.1371/journal.pone.0044655,"Van Colen, 2012",clam,Baltic tellin,Macoma balthica,7.63,8.15,2127.7,601.6,76.2,2.3,SE,5,50,1440,NA,NA,NA,NA,no,NA,NA,NA,0.762
Mollusc,https://doi.org/10.1371/journal.pone.0044655,"Van Colen, 2012",clam,Baltic tellin,Macoma balthica,7.79,8.15,1454.6,601.6,84,2,SE,5,50,1440,NA,NA,NA,NA,no,NA,NA,NA,0.84
Mollusc,https://doi.org/10.1371/journal.pone.0044655,"Van Colen, 2012",clam,Baltic tellin,Macoma balthica,8.15,8.15,601.6,601.6,85.1,2.2,SE,5,50,1440,NA,NA,NA,NA,no,NA,NA,NA,0.851
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,8.2,8.2,525.7,525.7,84.1,6.8,SE,3,100,120,1500000,4000,3,5,no,NA,NA,NA,0.841
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,8.2,8.2,525.7,525.7,47,2.1,SE,3,100,120,150000,400,3,5,no,NA,NA,NA,0.47
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,8.2,8.2,525.7,525.7,21.2,7.9,SE,3,100,120,15000,40,3,5,no,NA,NA,NA,0.212
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,8.2,8.2,525.7,525.7,9.1,1.5,SE,3,100,120,1500,4,3,5,no,NA,NA,NA,0.091
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7.78,8.2,NA,525.7,58.2,2.2,SE,3,100,120,1500000,4000,3,5,no,NA,NA,NA,0.582
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7.78,8.2,NA,525.7,18.1,2.4,SE,3,100,120,150000,400,3,5,no,NA,NA,NA,0.181
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7.78,8.2,NA,525.7,3.1,1,SE,3,100,120,15000,40,3,5,no,NA,NA,NA,0.031
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7.78,8.2,NA,525.7,2,0.6,SE,3,100,120,1500,4,3,5,no,NA,NA,NA,0.02
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7.62,8.2,NA,525.7,55.1,11.6,SE,3,100,120,1500000,4000,3,5,no,NA,NA,NA,0.551
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7.62,8.2,NA,525.7,12,2.1,SE,3,100,120,150000,400,3,5,no,NA,NA,NA,0.12
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7.62,8.2,NA,525.7,2.1,0.7,SE,3,100,120,15000,40,3,5,no,NA,NA,NA,0.021
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7.62,8.2,NA,525.7,2.1,0,SE,3,100,120,1500,4,3,5,no,NA,NA,NA,0.021
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7,8.2,NA,525.7,23.2,1.5,SE,3,100,120,1500000,4000,3,5,no,NA,NA,NA,0.232
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7,8.2,NA,525.7,7.9,1,SE,3,100,120,150000,400,3,5,no,NA,NA,NA,0.079
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7,8.2,NA,525.7,2.1,1.3,SE,3,100,120,15000,40,3,5,no,NA,NA,NA,0.021
Echinoderm,https://doi.org/10.1007/s00227-012-2034-2,"Gonzalez-Bernat, 2013",non-urchin,Sand dollar,Arachnoides placenta,7,8.2,NA,525.7,1.1,0.3,SE,3,100,120,1500,4,3,5,no,NA,NA,NA,0.011
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus purpuratus,7.95,7.95,501,501,100,4.2,SD,3,100,20,5000,1000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,1
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus purpuratus,7.88,7.95,607,501,100,0,SD,3,100,20,5000,1000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,1
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus purpuratus,7.8,7.95,736,501,100,2.4,SD,3,100,20,5000,1000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,1
Echinoderm,https://doi.org/10.1086/BBLv226n1p1,"Frieder, 2014",urchin,Sea urchin,Strongylocentrotus purpuratus,7.72,7.95,920,501,100,1.68,SD,3,100,20,5000,1000,2,2,no,NA,NA,Eggs pre-incubated for 20 minutes,1
